label,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std
A3,-392.34546,116.72795,24.84987,7.818675,9.86597,8.911224,-2.0521204,-15.815185,-17.497957,-5.3096566,-1.2203503,-10.028321,-19.3139,84.88382,21.474957,30.383152,12.739611,6.747878,7.371217,4.7199945,5.296488,5.720014,4.7291393,3.0936854,2.8544033,5.370019
A3,-407.2275,100.59499,24.464289,11.947495,12.534814,8.49698,-0.43821847,-10.658472,-9.187157,-2.6342428,-5.2473426,-10.020793,-12.737703,86.7909,41.76783,24.47707,10.982318,7.799201,5.8254976,6.094056,8.462922,7.6670423,6.011971,3.985608,4.2845454,6.0473413
A3,-401.62274,95.44324,22.37653,25.725813,25.59327,15.357151,-1.7006238,-15.678693,-14.222143,-2.8681061,-3.668612,-13.602421,-15.924486,91.34616,14.870743,29.928545,15.672852,10.296117,7.062837,4.641099,5.194516,3.6253307,4.2802095,2.0804684,4.2558913,3.1200106
A3,-418.2395,117.66762,44.978325,13.6288595,8.713056,10.285688,3.529186,-6.7657237,-11.9373455,-12.36192,-12.726619,-13.62405,-13.205641,55.646957,22.574963,16.399477,9.673807,4.853172,6.5979304,4.511595,4.985585,4.4618044,3.9312007,3.8669825,2.787959,2.9762204
A3,-425.05515,109.44327,38.21615,11.921357,9.991289,11.635365,3.2416806,-5.4950433,-7.6356454,-7.493101,-10.914705,-15.104325,-12.737477,66.43368,32.262093,17.085205,10.533102,7.259414,7.328406,4.161708,7.097882,6.9750795,6.0747814,6.989487,7.70073,5.7545395
A3,-407.93863,103.50733,24.66959,17.78179,15.636138,11.238092,5.59984,-4.079255,-5.0253263,-3.8810427,-15.226036,-23.574482,-17.220633,79.73837,18.332508,29.775871,11.445446,6.170597,5.5745497,5.7230253,5.5857525,5.446938,3.7837775,5.302067,5.613382,4.482247
A3,-361.8618,123.90216,28.114758,27.036592,17.955318,8.340866,7.8802285,-0.5505814,-13.032929,-9.148147,-6.046522,-6.9475265,-10.1437845,80.85727,16.942822,28.214752,15.736977,6.9662895,8.448166,5.079389,4.0125017,5.205958,3.7788894,3.891116,4.544614,3.3454344
A3,-379.2587,110.3513,19.345251,22.47367,17.505827,10.814601,10.391725,2.6831036,-4.5543156,-3.237512,-4.295897,-5.978822,-7.1890736,89.70374,31.732784,24.216381,15.640687,8.246771,4.946784,5.092499,5.9137053,10.610643,7.421415,5.9544005,4.8531613,3.9772816
A3,-359.1464,126.89253,23.49591,21.953089,16.397148,8.695794,2.9664226,-3.6694076,-10.744703,-8.962171,-5.62831,-7.6550813,-9.270442,99.6396,25.021585,28.821333,16.186085,7.857053,6.3613167,4.545054,6.3507915,7.1941032,4.782246,3.3696303,3.7503645,3.5884051
A4,-363.42297,98.21527,16.627203,20.688452,10.49328,2.4911697,-11.788676,-19.046118,-14.737028,-5.0370317,-8.035163,-21.620245,-26.283646,89.78486,16.193975,16.294212,12.820468,8.507377,6.82388,4.7526107,4.9968705,5.2781205,4.9548264,3.0368083,6.6259046,7.5138
A4,-366.75717,122.108894,5.9217935,-2.0973964,6.4325438,2.2405775,-0.1990985,4.1122484,-10.068656,-10.008246,1.0835121,-2.6012034,-14.269757,85.59862,13.176779,15.870116,3.6534119,5.9877005,5.3278904,5.445135,6.024501,4.3369436,3.3076649,3.9108837,5.357689,5.4774475
A4,-368.07385,106.99864,10.047975,9.277359,3.9025877,3.6374342,1.5748498,0.77475446,-5.6645074,-7.8020735,-2.055988,1.4468107,-12.918957,95.63637,13.926406,18.06814,4.5321755,8.265775,3.6656058,6.0201654,3.599222,7.0764284,7.223467,4.385549,3.9607553,11.591542
A4,-348.9169,102.13371,7.708158,0.9664543,7.1877966,7.209357,-0.74940187,2.1876726,-6.6989923,-18.386553,-0.8780996,0.0660225,-26.742237,98.55335,27.033669,11.8976345,6.893716,5.471313,4.199858,3.0932066,3.7220223,4.043782,9.538495,4.4991894,6.516745,9.374638
A4,-366.01874,65.82151,7.44926,-7.2269135,-9.161448,12.994274,2.1657295,15.152818,-8.746008,-7.9481144,-14.006174,-12.009546,-15.016735,105.13953,30.287443,9.482872,8.094015,7.0794644,9.575367,4.9099226,6.4715667,7.0929623,6.0058136,11.3030615,5.680099,4.269878
A4,-385.31952,67.47833,18.281193,-3.1778016,-3.277881,17.255623,2.3896935,9.562013,-10.70506,-2.603124,-9.00124,-8.798126,-18.836805,112.86926,24.96999,14.785165,10.845535,11.94412,9.632451,4.2866178,6.658089,10.731106,6.2363243,8.962947,6.8347893,12.894773
A4,-362.61072,66.96079,7.9842825,-6.2558017,-8.9587555,10.012617,6.9733453,13.735036,-16.51077,-3.1242461,-11.848922,-14.498733,-20.35596,103.91751,28.883776,9.53055,7.1433725,7.977691,9.72169,3.7113264,5.7864013,6.5512323,6.312917,10.645125,4.3614426,3.2963316
A4,-402.63083,92.73373,0.6573756,5.2729106,-2.6724925,11.287719,7.5266886,-4.0702467,-7.4191422,-0.5797372,-8.516223,-15.031368,-19.196106,94.596985,18.705833,9.8762665,8.4770155,5.893711,8.620485,3.0550778,3.8335521,3.7812943,6.7750616,5.2449055,4.8374333,4.2292414
A4,-424.14432,76.59079,11.905547,-0.9426833,-3.7191186,18.688736,-0.7537814,3.7369037,-7.2341547,0.65704006,-3.3826835,-15.331633,-15.968015,121.238556,20.321125,15.794523,6.67465,12.929323,11.055468,5.6419024,4.4139304,8.522938,5.003442,5.342674,12.265792,10.8238945
A4,-352.7385,74.719154,20.679518,0.80620867,-3.478717,14.226662,1.7262067,6.7649474,-8.5227375,7.571713,-14.656033,-20.31122,-17.152441,104.29067,32.001587,13.698398,7.1531005,7.3993435,10.057682,4.6823444,4.8881,3.1837978,8.087096,10.491269,5.1652617,5.104356
A4,-442.2759,118.01356,28.554539,8.379658,6.477305,2.4462469,-8.666941,-10.623963,-10.254433,-8.468315,-14.224128,-15.355511,-9.082375,100.24587,17.679262,19.09729,9.255664,6.6321344,3.525307,3.0980377,4.377287,4.375936,3.9854627,5.031824,7.8291574,5.7484207
A4,-386.7926,88.989075,17.637793,18.514236,7.0314884,3.3029785,-4.544552,-11.455572,-9.551184,-0.39551747,-6.2411823,-18.125544,-17.535873,99.76181,24.175196,16.485077,11.606642,6.207112,6.2588468,4.5688944,8.692467,6.8008265,5.207792,4.411239,12.727888,11.818042
A4,-452.08258,108.345116,17.946386,7.0685897,7.817609,1.5377138,-6.6979237,-7.108077,-7.868081,-7.857242,-8.810091,-9.940298,-11.718518,104.45879,19.860954,14.314389,9.153881,6.6154056,4.200053,3.7631888,4.0962777,7.81648,7.356638,6.9786515,7.019036,7.336924
A4,-450.96143,116.193665,27.620106,7.852062,5.914506,0.92688006,-8.428617,-11.181479,-11.826764,-11.097711,-14.180616,-12.721739,-11.020868,107.75901,21.238945,20.96114,7.818351,5.3785777,4.0017943,2.998724,4.265046,3.4534214,3.5388224,4.147969,5.362525,6.6078625
A4,-434.29813,136.67218,24.832603,3.1366465,3.5222607,-3.0692236,-10.518649,-11.118734,-10.67417,-12.518126,-11.989702,-12.674994,-9.750484,84.361916,17.47517,18.787384,10.300087,5.850126,3.6852949,4.498184,3.346139,4.3683047,4.70095,4.1713734,6.2238603,6.1572447
A4,-438.7322,129.36855,17.806257,0.24716395,3.9331303,-2.087772,-10.226909,-7.9052777,-4.756636,-9.84844,-13.039273,-11.647397,-9.7124,88.56855,25.824623,18.676624,10.311289,5.8572755,5.358648,5.7369175,3.575279,5.24696,7.866865,9.096613,6.229554,4.949817
A4,-446.2886,113.009964,20.89928,13.070756,15.601723,9.259098,-7.74815,-10.507935,-6.6709123,-5.774424,-12.415607,-10.514854,-8.735761,95.538895,15.995313,20.340782,13.436071,6.5593567,5.2479954,2.882877,3.3279805,4.1636386,3.6593077,6.866511,3.7937014,5.3500094
A4,-447.97577,125.627266,20.15653,12.888933,12.438714,2.3374386,-6.1898475,-1.7008387,-7.440193,-11.77829,-13.466805,-11.962983,-12.686953,102.28139,22.892872,13.9655695,12.568144,8.294161,4.815508,4.645582,4.2881103,3.4466813,4.808744,5.4981833,3.710078,5.3379683
A4,-459.98697,112.63457,21.823853,13.215991,12.036787,3.246199,-4.0239387,-3.208429,-9.707168,-8.053093,-8.327554,-8.978785,-11.338128,108.51,23.262611,14.949955,11.274956,7.511498,4.5131965,3.7334552,3.6661923,5.795959,5.4572554,5.4934344,3.6809433,5.5491424
A4,-452.05466,123.29282,18.167723,15.269037,12.285715,3.5825603,-6.915431,-3.4823787,-11.661973,-11.252546,-11.876807,-12.032872,-12.691614,106.80302,24.171652,15.432705,10.95211,8.440997,5.021318,3.759527,5.551443,3.6977563,3.8789442,4.0532103,4.105632,5.948419
A4,-451.002,129.98114,18.555273,12.760856,12.170535,1.2532859,-8.282686,-6.899058,-7.5047975,-12.80116,-12.5262785,-10.762482,-11.465921,93.45682,13.966345,17.876019,11.371382,7.7892866,4.474019,4.1561,3.8171613,4.8842783,3.5852027,4.4213223,4.0119615,5.830311
A4,-457.7689,109.50147,14.801087,14.289792,14.558834,3.6900337,-4.7286515,-2.5946822,-2.954398,-7.6610885,-10.412941,-7.659784,-9.06952,95.53414,21.248526,18.076931,14.374959,9.564537,5.856535,8.38139,4.3058786,5.286676,7.624496,10.992212,6.7830553,6.2326336
A4,-363.5564,97.83166,18.397493,20.856447,11.001018,1.7813799,-12.988382,-12.66051,-9.207865,-7.997267,-10.235056,-18.941595,-27.707813,97.06311,22.9971,15.2085085,11.870815,7.052695,9.52142,4.7758837,5.2148547,5.101973,3.783092,3.6187572,6.6369123,7.090484
A4,-448.44485,121.09151,34.584267,15.29669,12.918397,6.532844,-1.8382978,1.63062,-1.909441,-11.530554,-15.670939,-11.79597,-16.003649,95.82431,21.598042,12.310011,12.96196,7.37572,4.103508,5.462096,4.296645,4.492014,3.9392083,6.56712,3.4087193,7.788202
A4,-424.5343,109.68067,23.272484,13.36915,7.1425295,4.005466,-0.41935712,-1.7802154,-11.509066,-14.040874,-9.102564,-8.576393,-14.63395,99.00885,20.82963,17.070127,9.148563,7.9395657,6.3662524,5.5251155,7.0982985,4.0221195,3.56819,2.5972595,4.4438286,8.857881
A4,-445.73352,82.68388,19.908815,15.05431,3.0206597,3.4559832,-0.8479257,-2.3107865,-3.820687,-8.472567,-9.767975,-9.789515,-13.670145,119.780045,25.695679,17.735334,8.077176,8.475253,6.4835997,5.461861,4.30887,5.4243517,8.306244,9.532708,9.059533,12.363181
A4,-412.67932,101.04111,22.784674,18.386305,9.188922,1.7389356,1.4416124,-5.403809,-11.391731,-11.86592,-11.732189,-9.817232,-11.526779,107.56966,22.752218,21.631927,8.260253,5.6269474,4.800502,6.476418,4.6945767,4.1167145,3.503318,4.464769,4.3447433,9.40866
